Date,State,Confirmed
2020-04-05,Delhi,503
2020-04-05,Goa,7
2020-04-05,Gujarat,122
2020-04-05,Haryana,59
2020-04-05,Himachal Pradesh,6
2020-04-05,Jammu and Kashmir,106
2020-04-05,Jharkhand,3
2020-04-05,Karnataka,144
2020-04-05,Kerala,306
2020-04-05,Ladakh,14
2020-04-05,Madhya Pradesh,165
2020-04-05,Maharashtra,490
2020-04-05,Manipur,2
2020-04-05,Mizoram,1
2020-04-05,Odisha,20
2020-04-05,Puducherry,5
2020-04-05,Punjab,57
2020-04-05,Rajasthan,200
2020-04-05,Tamil Nadu,485
2020-04-05,Telengana,269
2020-04-05,Uttar Pradesh,227
2020-04-05,Uttarakhand,22
2020-04-05,West Bengal,80
2020-04-06,Andaman and Nicobar Islands,10
2020-04-06,Andhra Pradesh,226
2020-04-06,Arunachal Pradesh,1
2020-04-06,Assam,26
2020-04-06,Bihar,32
2020-04-06,Chandigarh,18
2020-04-06,Chhattisgarh,10
2020-04-06,Delhi,523
2020-04-06,Goa,7
2020-04-06,Gujarat,144
2020-04-06,Haryana,84
2020-04-06,Himachal Pradesh,13
2020-04-06,Jammu and Kashmir,109
2020-04-06,Jharkhand,4
2020-04-06,Karnataka,151
2020-04-06,Kerala,314
2020-04-06,Ladakh,14
2020-04-06,Madhya Pradesh,165
2020-04-06,Maharashtra,748
2020-04-06,Manipur,2
2020-04-06,Mizoram,1
2020-04-06,Odisha,21
2020-04-06,Puducherry,5
2020-04-06,Punjab,76
2020-04-06,Rajasthan,274
2020-04-06,Tamil Nadu,571
2020-04-06,Telengana,321
2020-04-06,Uttar Pradesh,305
2020-04-06,Uttarakhand,26
2020-04-06,West Bengal,80
2020-04-07,Andaman and Nicobar Islands,10
2020-04-07,Andhra Pradesh,266
2020-04-07,Arunachal Pradesh,1
2020-04-07,Assam,26
2020-04-07,Bihar,32
2020-04-07,Chandigarh,18
2020-04-07,Chhattisgarh,10
2020-04-07,Delhi,576
2020-04-07,Goa,7
2020-04-07,Gujarat,165
2020-04-07,Haryana,90
2020-04-07,Himachal Pradesh,13
2020-04-07,Jammu and Kashmir,116
2020-04-07,Jharkhand,4
2020-04-07,Karnataka,175
2020-04-07,Kerala,327
2020-04-07,Ladakh,14
2020-04-07,Madhya Pradesh,229
2020-04-07,Maharashtra,868
2020-04-07,Manipur,2
2020-04-07,Mizoram,1
2020-04-07,Odisha,42
2020-04-07,Puducherry,5
2020-04-07,Punjab,91
2020-04-07,Rajasthan,288
2020-04-07,Tamil Nadu,621
2020-04-07,Telengana,364
2020-04-07,Tripura,1
2020-04-07,Uttar Pradesh,305
2020-04-07,Uttarakhand,31
2020-04-07,West Bengal,91
2020-04-08,Andaman and Nicobar Islands,10
2020-04-08,Andhra Pradesh,305
2020-04-08,Arunachal Pradesh,1
2020-04-08,Assam,27
2020-04-08,Bihar,38
2020-04-08,Chandigarh,18
2020-04-08,Chhattisgarh,10
2020-04-08,Delhi,576
2020-04-08,Goa,7
2020-04-08,Gujarat,165
2020-04-08,Haryana,147
2020-04-08,Himachal Pradesh,18
2020-04-08,Jammu and Kashmir,116
2020-04-08,Jharkhand,4
2020-04-08,Karnataka,175
2020-04-08,Kerala,336
2020-04-08,Ladakh,14
2020-04-08,Madhya Pradesh,229
2020-04-08,Maharashtra,1018
2020-04-08,Manipur,2
2020-04-08,Mizoram,1
2020-04-08,Odisha,42
2020-04-08,Puducherry,5
2020-04-08,Punjab,91
2020-04-08,Rajasthan,328
2020-04-08,Tamil Nadu,690
2020-04-08,Telengana,427
2020-04-08,Tripura,1
2020-04-08,Uttar Pradesh,343
2020-04-08,Uttarakhand,31
2020-04-08,West Bengal,99
2020-04-09,Andaman and Nicobar Islands,11
2020-04-09,Andhra Pradesh,348
2020-04-09,Arunachal Pradesh,1
2020-04-09,Assam,28
2020-04-09,Bihar,39
2020-04-09,Chandigarh,18
2020-04-09,Chhattisgarh,10
2020-04-09,Delhi,669
2020-04-09,Goa,7
2020-04-09,Gujarat,179
2020-04-09,Haryana,169
2020-04-09,Himachal Pradesh,18
2020-04-09,Jammu and Kashmir,158
2020-04-09,Jharkhand,13
2020-04-09,Karnataka,181
2020-04-09,Kerala,345
2020-04-09,Ladakh,14
2020-04-09,Madhya Pradesh,259
2020-04-09,Maharashtra,1135
2020-04-09,Manipur,2
2020-04-09,Mizoram,1
2020-04-09,Odisha,42
2020-04-09,Puducherry,5
2020-04-09,Punjab,101
2020-04-09,Rajasthan,383
2020-04-09,Tamil Nadu,738
2020-04-09,Telengana,442
2020-04-09,Tripura,1
2020-04-09,Uttar Pradesh,410
2020-04-09,Uttarakhand,35
2020-04-09,West Bengal,103
2020-04-10,Andaman and Nicobar Islands,11
2020-04-10,Andhra Pradesh,363
2020-04-10,Arunachal Pradesh,1
2020-04-10,Assam,29
2020-04-10,Bihar,60
2020-04-10,Chandigarh,18
2020-04-10,Chhattisgarh,10
2020-04-10,Delhi,898
2020-04-10,Goa,7
2020-04-10,Gujarat,241
2020-04-10,Haryana,169
2020-04-10,Himachal Pradesh,28
2020-04-10,Jammu and Kashmir,184
2020-04-10,Jharkhand,13
2020-04-10,Karnataka,197
2020-04-10,Kerala,357
2020-04-10,Ladakh,15
2020-04-10,Madhya Pradesh,259
2020-04-10,Maharashtra,1364
2020-04-10,Manipur,2
2020-04-10,Mizoram,1
2020-04-10,Odisha,44
2020-04-10,Puducherry,5
2020-04-10,Punjab,132
2020-04-10,Rajasthan,463
2020-04-10,Tamil Nadu,834
2020-04-10,Telengana,473
2020-04-10,Tripura,1
2020-04-10,Uttar Pradesh,431
2020-04-10,Uttarakhand,35
2020-04-10,West Bengal,116
2020-04-11,Andaman and Nicobar Islands,11
2020-04-11,Andhra Pradesh,381
2020-04-11,Arunachal Pradesh,1
2020-04-11,Assam,29
2020-04-11,Bihar,60
2020-04-11,Chandigarh,18
2020-04-11,Chhattisgarh,18
2020-04-11,Delhi,903
