Month,State,Confirmed,Deaths
11,Madhya Pradesh,5552645,92680
11,Maharashtra,52401197,1372935
11,Manipur,652115,6496
11,Meghalaya,319811,3000
11,Mizoram,100797,103
11,Nagaland,300898,1563
11,Odisha,9202221,45736
11,Puducherry,1085439,18136
11,Punjab,4251349,133991
11,Rajasthan,6816536,62223
11,Sikkim,133622,2646
11,Tamil Nadu,22662530,343667
11,Telengana,7704031,42122
11,Tripura,957673,10849
11,Uttar Pradesh,15327991,221126
11,Uttarakhand,2042936,33309
11,West Bengal,12862215,228800
12,Andaman and Nicobar Islands,149755,1901
12,Andhra Pradesh,27154143,218804
12,Arunachal Pradesh,512665,1711
12,Assam,6657671,31286
12,Bihar,7540194,41243
12,Chandigarh,579205,9345
12,Chhattisgarh,8044501,96702
12,Dadra and Nagar Haveli and Daman and Diu,104066,62
12,Delhi,18789163,310431
12,Goa,1536156,22082
12,Gujarat,7097154,129363
12,Haryana,7809674,84386
12,Himachal Pradesh,1530320,25337
12,Jammu and Kashmir,3603650,55880
12,Jharkhand,3472129,30993
12,Karnataka,27994899,370482
12,Kerala,21071257,82588
12,Ladakh,282403,3813
12,Lakshadweep,0,0
12,Madhya Pradesh,6974358,106252
12,Maharashtra,58306196,1499062
12,Manipur,837188,10038
12,Meghalaya,397526,3964
12,Mizoram,125723,213
12,Nagaland,361522,2197
12,Odisha,10054358,56156
12,Puducherry,1164162,19265
12,Punjab,4969915,157910
12,Rajasthan,9042995,78781
12,Sikkim,168048,3708
12,Tamil Nadu,24819908,369344
12,Telengana,8646516,46521
12,Tripura,1024869,11710
12,Uttar Pradesh,17564562,250784
12,Uttarakhand,2579458,42515
12,West Bengal,16211044,282550
